,0,0
612,"

Tesla last night unveiled the latest member of its passenger vehicle family, the Model Y crossover SUV, which sports a range of up to 300 miles, seats seven, and has a price tag of US$47,000. Chief executive Elon Musk has predicted the model will sell better than the other three combined.Deliveries of this long-range base-model version of the car will begin in the fall of 2020, but the car is available to pre-order, of course, with a deposit of US$2,500. A cheaper, shorter-range, version of the Model Y, at US$39,000 will be made available to customers in the spring of 2021. Its battery would have the capacity to last for 230 miles.



There will also be a more expensive version of the Model Y, The Verge reported, with a price tag of US$51,000 that will feature an all-wheel drive and a dual motor. A third, even more expensive version will be a performance Model Y that will sell for US$60,000. Both of these will be made available to customers at the same time as the base model.MarketWatch’s Claudia Assis noted in a report on the release that the Model Y is a smaller more affordable version of the Model X, which Musk had repeatedly blamed for various delays, and a model Musk had promised to bring to market at some point.



Tesla has not yet said where it will build the Model Y but it will have a lot of common components with the Model 3, which will enable the streamlining of Tesla’s production platform, Assis said. However, some are worried the new car will pressure demand for what was supposed to be Tesla’s flagship car, the Model 3.Time will tell if this worry has any grounds but it’s worth recalling that the Model 3 became the most sold electric car in the world last year: the first full-year of production for the car. Total sales came in at 138,000, versus 92,000 for Chinese BAIC and 85,000 for Nissan Leaf.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:The Small Asian Nation With Big LNG PlansThe Khashoggi Killing Is Driving Saudi Oil DiversificationHow The Californian Oil Boom Died


",
613,"

San Francisco and Oakland have approached a federal appeals court with a request to reinstate their lawsuits against five Big Oil companies, which a U.S. District Judge dismissed last year.NBC reports the two municipalities had also asked the 9th U.S. Circuit Court of San Francisco to return the lawsuits on their own turf, to the San Francisco Superior Court and the Alameda County Superior Court, where the lawsuits were filed originally.



San Francisco and Oakland are suing Chevron, Exxon, Shell, BP, and ConocoPhillips for selling oil products despite their knowledge of the effect these products had on the environment.""Defendants have known for decades that the continued burning of fossil fuels would increase global temperatures and cause devastating impacts on coastal communities like Oakland and San Francisco. Yet they continued to wrongfully promote the increased, unrestricted use of their products,"" the attorneys of the two plaintiffs wrote in a brief.



The five companies’ stance was that control over the production of oil and gas and carbon emissions from the industry is the prerogative of environmental regulators and not courts. They argued the case should be dismissed, which is exactly what happened eventually.Yet, the Big Oil defendants have also argued the environmental damage the two cities’ authorities claim they have sustained is “speculative”, involving billions of people using oil and gas as well as long environmental processes.Another anti-Big Oil case against the same five companies was dismissed in New York City as well, a month after the SF/Oakland case dismissal. “Climate change is a fact of life, as is not contested by Defendants,” the Manhattan judge wrote in his ruling. “But the serious problems caused thereby are not for the judiciary to ameliorate. Global warming and solutions thereto must be addressed by the two other branches of government.”By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Asian LNG Prices Continue To TumbleOil Falls After EIA Reports Large Crude BuildBezos, Bloomberg And Gates Back Revolutionary Exploration Tech


",
614,"

The U.S. sanctions on Venezuela’s oil industry have not had a significant impact on the operations of the largest U.S. refiner Marathon Petroleum Corp, chairman and chief executive officer Gary Heminger said at IHS Markit’s CERAWeek conference in Houston.According to Heminger, Marathon Petroleum had seen sanctions coming a long time ago and Venezuelan crude oil was a small percentage of the millions of barrels of oil the company buys every day, the Houston Chronicle reports.Most of the U.S. refiners have been reducing purchases of Venezuelan oil for some time, Heminger noted.



On the other hand, Venezuela’s crude oil exports have been plunging over the past two years because of its plummeting production and also because part of Venezuelan oil is being shipped to countries like Russia and China as a repayment for loans that Moscow and Beijing have extended to Venezuela or its state oil firm PDVSA.  Similar sweeping sanctions against Venezuela would have had a significant impact five years ago, but this is not the case today, the Houston Chronicle quoted Heminger as saying at the conference.Shortly after the U.S. imposed the sanctions on Venezuela at the end of January, the Energy Information Administration (EIA) said that the sanctions were unlikely to have a significant impact on the refinery runs of the U.S. refiners. U.S. imports of crude oil from Venezuela have been falling in recent years, and U.S. refiners have been replacing heavy crude from Venezuela with heavy crude grades from other sources, the EIA said.



Commenting on the new sulfur content regulations by the International Maritime Organization (IMO) as of January 1, 2020, Marathon Petroleum’s Heminger said that the U.S. refining industry is fully prepared for the processing of more low-sulfur fuels.Torbjörn Törnqvist, CEO at trading house Gunvor, said in October last year that the new rules would surely create an initial confusion, but in the end the big overall winner from IMO will be the United States.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Pakistan Aims To Become A Natural Gas HotspotThe Small Asian Nation With Big LNG PlansThe Khashoggi Killing Is Driving Saudi Oil Diversification


",
615,"

Norway’s government is proposing to expand the area that will be offered for oil and gas exploration in the 2019 licensing round of acreage in mature areas, Petroleum and Energy Minister Kjell-Børge Freiberg said on Thursday.Norway plans to include a total of 90 new blocks in the so-called APA annual licensing round this year, including 48 blocks in the Barents Sea, 37 blocks in the Norwegian Sea, and five blocks in the North Sea, Freiberg said.   “It’s important to maintain the positive development in exploration activity in the Barents Sea. I hope this will lead to robust field development solutions and increased value creation in the north,” Reuters quoted Freiberg as saying in a statement.There has been opposition to the extension of the acreage under the APA licensing round from politicians of the opposition and from environmentalists, who have argued that those licensing rounds with additional blocks are being used to expand exploration to beyond the scope of those rounds—that is mature and well-explored areas.  



In the 2018 APA licensing round, Norway awarded 83 production licenses—a record number of awards for such rounds.“53 years after the first licensing round, this new record confirms the industry’s belief in continued value creation and activity in Norway,” Freiberg said in January this year, when he announced the new licenses and the 33 different companies that were awarded ownership interests.Related: Two Largest Oil Price Benchmarks Are Set To DivergeNorway’s oil production is expected to drop this year to its lowest level since 1988, but to recover afterwards thanks to two large developments.



Production is expected to jump in 2020 through 2023, thanks to the start up in late 2019 of Johan Sverdrup—the North Sea giant, as operator Equinor calls it.But after Johan Sverdrup and after Johan Castberg in the Barents Sea scheduled for first oil in 2022, Norway doesn’t have major oil discoveries and projects to sustain its oil production after the middle of the 2020s.The Norwegian Petroleum Directorate (NPD) started warning last year that from the mid-2020s onward, production offshore Norway will start to decline “so making new and large discoveries quickly is necessary for maintaining production at the same level from the mid-2020s.”  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Prices Rise As Saudis Curb ExportsAnalysts: Permian Oil Output Set To Double By 2023Oil Prices Jump As Saudis Promise To Do ""Whatever It Takes""


",
616,"

The oil and gas sector is facing a stiff competition in attracting young talent in science, technology, engineering, and mathematics (STEM) because Millennials and Generation Zs are most interested in jobs in an industry associated with new technologies, according to the “Workforce of the Future” survey commissioned by the Abu Dhabi National Oil Company (ADNOC).A total of 44 percent of the polled 3,075 young STEM talent across 10 countries said that they would be interested in pursuing a career in oil and gas, compared to 77 percent in the technology sector, 58 percent in life sciences and pharmaceuticals, and 57 percent in healthcare, for example.The survey of young STEM talent in the United States, Canada, the UK, France, Russia, China, India, Japan, Saudi Arabia, and the UAE, showed that interest in a career in oil and gas is nearly on par with marketing and advertising (48 percent), hospitality (47 percent), transport/logistics (46 percent) and retail (41 percent).



The top five drivers for Millennials and Gen Zs career picks are “salary,” “work-life balance,” “job stability,” “on-the-job fulfilment,” and “a good work environment,” the survey showed.The top three positive associations of the oil and gas sector among the 15-35 year-old STEM talent were “the industry pays well,” “the industry is crucial for their country’s economy and development,” and it is “an industry we couldn’t live without.”It comes as no surprise that Millennials and Gen Zs showed the highest interest in a career path in industries which they believe will be the most impacted by new technologies. Globally, 42 percent of the young talent polled said that new technologies would have a ‘major impact’ on the oil and gas industry, well below those who associate new technologies with a major impact in the technology industry—73 percent.



Nearly 3 in 4, or 72 percent, believe that new technologies will have an overall impact on the oil and gas sector, compared to 9 out of 10 for the technology sector.Millennials and Gen Zs are divided, however, on whether oil and gas is an industry of the past or of the future—44 percent say it is an industry of the past, while 45 percent reckon it is of the future.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:The EIA Cuts U.S. Oil Output ProjectionsIs A Crisis Looming For Canadian Oil?The Billionaires Battling It Out Over Biofuel


",
617,"

Share    PrintA gas-pipeline explosion has killed at least two people in Iran’s southwestern province of Khuzestan, local media report.The March 14 blast hit a pipeline between the provincial capital, Ahvaz, and the city of Mahshahr, near the Persian Gulf.



Local official Kiamars Hajizadeh said that the explosion was caused by a gas leakage from the pipeline, according to the semiofficial ISNA news agency.At least four people, including one child and a woman, were killed and five others were wounded, Hajizadeh added.State television reported that five vehicles in the area had caught fire following the explosion, adding that firefighters and ambulances had been dispatched to the area.



The semiofficial Fars news agency quoted the fire chief in Ahvaz, Ali Torabpour, as saying that a bus, a truck, and a private car had caught fire.A fire brigade spokesman told ISNA that emergency crew members were able to extinguish the fire, but the exact number of people killed or injured remained unclear.Iran has an aging infrastructure, which it has struggled to maintain in working order through years of Western sanctions. Safety measures are also poorly enforced in Iran.In August 2018, a gas explosion in a sports complex in Tehran killed at least three workers.By RFE/RLMore Top Reads From Oilprice.com:The Billionaires Battling It Out Over BiofuelPakistan Aims To Become A Natural Gas HotspotThe Small Asian Nation With Big LNG Plans


",
618,"

Iraq’s State Oil Marketing Organization (SOMO) is looking to expand its crude oil trading activities with more spot sales and with opening offices outside Iraq, the director of SOMO’s crude oil and gas marketing division, Ali Nazar Faeq Al-Shatari, said at the at the S&P Global Platts Asian Refining Summit on Thursday.The state oil marketing company of OPEC’s second-largest producer plans to begin the opening of offices abroad with Singapore, S&P Global Platts quoted Al-Shatari as saying during the conference.According to industry and trading sources who spoke to Reuters this week, SOMO has moved to scrap two joint ventures for trading as it aims to boost its crude oil sales on its own and get the trading revenues for itself.



At the end of last year SOMO also clamped down on the previously widespread re-selling of its crude oil cargoes, which it had always banned, although that ban had been largely ignored.According to Reuters, now the Iraqi state oil marketing company is also emboldened to trade the Iraqi crude on its own as the market for sour and heavy crude grades is tightening amid OPEC’s cuts and the U.S. sanctions on Iran and Venezuela.Iraq also aims to sell more of its oil on the prized Asian markets, and in November it allocated 67 percent of its 2019 oil sales to Asia. Iraq has raised the share of its crude oil shipped to Asia to 67 percent for 2019, from around 60 percent earlier in 2018.



Middle Eastern oil producers have been keen to get more revenues from trading their own oil.In April last year, the Abu Dhabi National Oil Company (ADNOC) said that it was establishing a new trading unit to “introduce and manage non-speculative trading to further maximize value from every barrel of crude oil and refined product that is produced and marketed by the company.”By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Is This A Precursor For Peak Oil Demand?Analysts: Permian Oil Output Set To Double By 2023Is A Crisis Looming For Canadian Oil?


",
619,"

Exxon has plans to enter the Israeli natural gas exploration industry despite the country’s tense relations with its Arab neighbors where Exxon has an established presence, Reuters reports, citing a source with knowledge of the plans.According to the source, Exxon officials had talked with Israeli Energy Minister Yuval Steinitz on the sidelines of CERAWeek in Houston, focusing on an offshore oil and gas auction that Israel has scheduled for this June.Israel made several major gas discoveries offshore during the last decade, but only one of them, Tamar, is already producing. Another large field, Leviathan, is close to completion, with first gas flowing into the market in late 2019, according to a November 2018 Reuters report.



The Tamar field contains an estimated 281 billion cu m of natural gas and some 13 million barrels of condensate, according to field operator Delek Group. Delek partners on Tamar’s development with Noble Energy, which holds a 25-percent stake.Delek and Noble Energy are also the lead partners on the Leviathan project, which Steinitz earlier this year called “the greatest natural treasure that has been discovered in Israel.” The field holds about 535 billion cu m of natural gas as well as 34.1 million barrels of condensate.Israel has grand ambitions in the gas industry thanks to these discoveries and has been eager to tap more reserves. It has already struck a sizeable gas export deal with an Egyptian firm, but it may just be the start of its growth as a regional factor to reckon with in gas.



This may put Exxon in an interesting position with its partners from the Arab countries, but the risk is relatively small: local oil and gas producers have benefited from the know-how supplied by Exxon and the other Big Oil majors for long enough to risk losing it.However, there is no certainty there will be another Leviathan-sized discovery any time soon. The 2017 oil and gas block tender that Tel Aviv held was disappointing and hopes are now that the next round, to cover 19 blocks, will have better results.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Is A Crisis Looming For Canadian Oil?The Small Asian Nation With Big LNG PlansPakistan Aims To Become A Natural Gas Hotspot


",
620,"

India’s Reliance Industries has suspended shipments of much-needed diluents to Venezuela’s PDVSA and will not resume them until U.S. sanctions against the South American country are not lifted.Reuters quoted a statement by the company as saying Reliance has also not raised the amount of oil it buys from PDVSA under a 2012 contract that stipulated it would buy between 300,000 and 400,000 bpd of Venezuelan crude for a period of 15 years. However, Reuters calculations suggest that Reliance has been importing less than 300,000 bpd from Venezuela since 2018.Reliance was supplying diluents necessary to make the extra heavy Venezuelan crude fluid enough to be loaded on tankers from its U.S. subsidiary. Before the January sanctions, the country imported an average 100,000 bpd of naphtha to use as diluent at a naphtha/crude rate of 1:4. Most of these imports came from the United States.



Now Washington is tightening the noose, and companies that do business both in the United States and in Venezuela are heeding its instruction to stop the latter.Reliance is India’s largest refiner and operator of the biggest refining complex in the country. It is also part of a sprawling global conglomerate that has close ties to the U.S. financial system hence its precarious position with regard to the Venezuelan sanctions.“Since the U.S. government imposed sanctions on the government of Venezuela in late January 2019, Reliance Industries Ltd has been in close contact with representatives from the U.S. State Department to ensure full compliance,” the company told Reuters.



Meanwhile, PDVSA’s U.S. business, Citgo, has got a new board of directors appointed by the self-declared interim president of Venezuela, opposition leader Juan Guaido with the assistance of the United States, which is seeking to replace Nicolas Maduro with Guaido before new elections are held in the embattled country.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:The Small Asian Nation With Big LNG PlansPakistan Aims To Become A Natural Gas HotspotVenezuela’s Latest Nightmare: Crude Oil In The Tap Water


",
621,"

Italy’s oil and gas major Eni said on Wednesday that it had made a major oil discovery in Angola’s deepwater in a find that could help the African OPEC producer to reverse the recent decline in oil production.Eni struck oil in Block 15/06 in the Agogo exploration prospect and estimates that the discovery contains 450-650 million barrels of light oil in place with further upside.The data acquired from the well indicates a production capacity of more than 20,000 bpd, Eni said, noting that this was the third commercial discovery in Block 15/06. Now Eni and its joint venture partners in the block, Sonangol P&P and SSI Fifteen Limited, will work to appraise the discovery and begin studies to fast track its development.Eni, a key player in Africa and in Angola, currently produces around 155,000 barrels of oil equivalent per day in Angola.



The African country, however, has been struggling in recent years to offset a decline in production as many fields mature.After the oil price crash of 2014, Angola’s economy had suffered from the low oil prices and the country had also been struggling to attract international investments in its deepwater higher-breakeven oil resources.Last year, Angola introduced several new measures to try to boost its oil production and its attractiveness for international investment. President Joao Lourenco signed in the summer of 2018 a decree to create an agency that would sell and manage oil blocks instead of state oil firm Sonangol.Related: The EIA Cuts U.S. Oil Output Projections



Earlier in 2018, Angola halved the tax rates on the development of oil discoveries with fewer than 300 million barrels of reserves. Angola cut the petroleum production tax on so-called marginal fields—those with below 300 million barrels of reserves—to 10 percent from the typical 20 percent tax. The tax reforms also halved the petroleum income tax on marginal fields to 25 percent from 50 percent.According to OPEC’s figures, Angola’s crude oil production in January 2019 averaged 1.416 million bpd, down by 75,000 bpd compared to December 2018, despite the fact that under the new OPEC+ deal, Angola’s cap is at 1.481 million bpd—higher than its production in January.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Is A Crisis Looming For Canadian Oil?The Billionaires Battling It Out Over BiofuelThe Small Asian Nation With Big LNG Plans


",
622,"

Mexico’s President Andrés Manuel López Obrador does not rule out a possible listing of the ailing state oil firm Pemex on the local market.Pemex could also issue a new bond, Reuters quoted López Obrador as saying on Wednesday. However, such moves to raise funds for the indebted oil company are not necessary, the president noted.Last month, Mexican officials said that the country would support Pemex by injecting US$3.6 billion into the debt-laden firm, including by refinancing debt and cutting taxes.The Mexican government, however, will not take on new debt for Pemex, Reuters quoted officials as saying in mid-February.



The Mexican state oil firm has a total of US$106 billion in financial debt.Mexico’s left-wing President López Obrador—in office since December 1—wants a greater role for Pemex in reversing the downward trend in Mexican oil production.Pemex’s crude oil production continues to decline—according to Pemex figures, its crude oil production averaged 1.813 million bpd in 2018. To compare, Pemex’s crude oil production averaged 2.429 million bpd in 2014, falling to 1.948 million bpd in 2017.López Obrador and Pemex have grand plans for reversing the decline, with the government coming to the rescue of Pemex, as the oil firm itself said in December. A new strategic plan aims to guarantee “the country’s energy security and sovereignty” and targets to raise crude oil production to 2.48 million bpd by the end of this administration’s term in office—the end of 2024.   



In January, Fitch Ratings downgraded Pemex’s ratings to just above investment grade, raising concerns that additional downgrades by Fitch or another rating agency would significantly lift the oil firm’s financing costs while it struggles with a heavy debt load.Earlier this month came a downgrade for Pemex from Standard & Poor’s, due to concerns that the government support may not be enough to heal the company’s finances and reverse the production decline.A day after the S&P downgrade, López Obrador said that the rating agencies’ downgrades were punishing Mexico for the neo-liberal policies of his predecessors in the past three and a half decades.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:The EIA Cuts U.S. Oil Output ProjectionsIs A Crisis Looming For Canadian Oil?The Billionaires Battling It Out Over Biofuel


",
623,"

The constant fire drill that is Tesla's business model continued for yet another day as Elon Musk has now admitted that Tesla made a mistake in announcing it would slash the prices of some of its higher-end vehicles about two weeks ago. This comes days after the company reversed course on its decision to close most of its retail stores. Unfazed by the fact that he’s currently legally feuding with the SEC for tweets regarding business operations at Tesla, Musk again took to the social media site on Tuesday to explain that Tesla ""shouldn’t have offered"" lower prices on Model S and Model X vehicles. Now, Tesla is doing a full ""about face"" and will reinstate its normal prices for its vehicles, with the exception of the base price Model 3, on Monday. ""In retrospect, lower price shouldn’t have been offered. Was done so because come simply couldn't afford it. Prices revert to normal on Monday,"" CEO Elon Musk said in a Tweet - flexing his outstanding planning skills and unmatched business prowess - likely in response to the public's shift in perception to the company's products as less than aspirational status symbols.This abrupt pricing reversal follows reports out of China according to which outraged Tesla owners were protesting the lower prices. In addition, The Daily Mail reported that angry owners had reached out to the company after purchasing Autopilot software for $5000, soon before the prices were discounted.



On February 28, Tesla stated that Autopilot would now cost just $3000, a steep cut from what consumers had originally paid. According to Musk, the price of Autopilot will also ""revert to normal"" on Monday. Musk also said that Tesla was still closing some stores, despite whipsawing reports of closures, freezes, and stores remaining open, over the last two weeks. The company said in a blog days ago: ""As a result of keeping significantly more stores open, Tesla will need to raise vehicle prices by about 3% on average worldwide. In other words, we will only close about half as many stores, but the cost savings are therefore only about half.""Related: Are Semi-Solid State Batteries A Gamechanger?Potential Tesla owners will have a week to place their order before prices rise, so current prices are valid until March 18th. There will be no price increase to the $35,000 Model 3. The price increases will only apply to the more expensive variants of Model 3, as well as Model S and X.Just days earlier, we reported that the company had frozen its previously disclosed plan of closing all of its retail stores.Some retail stores that didn't close were told to stop booking test drives last week. And yet, last week some of them were reportedly prompted to go back to ""business as usual"", despite retail employees not having access to commission and bonuses, resulting in far lower compensation. 



Tesla currently owes lease obligations of $1.6 billion, with $1.1 billion due between now and 2023 the Wall Street Journal reported last week. This includes payments for store leases, galleries and real estate abroad. Robert Taubman, chief executive officer of Taubman Centers Inc., is quoted as saying at the Citi 2019 Global Property CEO conference: ""Tesla is a company with a viable balance sheet that is going to owe a lot of landlords a lot of money.”The decision to close down all of its retail stores and move to an online-only sales model surprised many of the company's employees and investors, with some investors dumping the company's shares as its ""growth"" aura was rapidly deflating. Pro-Tesla blog electrek called the business model changes a ""chaotic situation"", saying it was ""either turning into what feels like an extremely poorly managed, haphazard transition or it is intentionally made that way to push out employees like some are suspecting.""Stated simply, Tesla has now gone back on all of the major business model changes it made just about two weeks ago, further exposing a company that can only be described as in the midst of anarchy.By ZerohedgeMore Top Reads From Oilprice.com:Is This A Precursor For Peak Oil Demand?Analysts: Permian Oil Output Set To Double By 2023Is A Crisis Looming For Canadian Oil?


",
624,"

North Korea’s nuclear and ballistic missile program remains in tact while the country continues to defy United Nations resolutions with significantly increased illegal ship-to-ship oil and coal transfers, a UN Panel of Experts wrote in an annual report published this week.“These violations render the latest United Nations sanctions ineffective by flouting the caps on the import of petroleum products and crude oil by the Democratic People’s Republic of Korea as well as the coal ban, imposed in 2017 by the Security Council in response to the country’s unprecedented nuclear and ballistic missile testing,” the UN report reads.“Global banks and insurance companies continue to unwittingly facilitate payments and provide coverage for vessels involved in ever-larger, multi-million-dollar, illegal ship-to ship transfers of petroleum products, as well as an increasing number of ship-to-ship coal transfers and attempted transshipments,” according to the report.



North Korea is using increasingly advanced and inventive techniques to evade the oil sanctions, including manipulation of vessel AIS transmission systems, physical disguise of tankers, illegal name-changing and other forms of identity fraud, night transfers, and the use of additional vessels for transshipment, the panel of experts said in the report.North Korea also “continues to violate the arms embargo and has attempted to supply small arms and light weapons and other military equipment to Houthi rebels in Yemen, as well as to Libya and the Sudan, via foreign intermediaries, including Syrian arms trafficker Hussein al-Ali in the case of the Houthi rebels,” the UN experts say.Related: Is A Crisis Looming For Canadian Oil?



The United States welcomed the release of the report, saying that it “demonstrates the need for continued vigilance against entities involved in D.P.R.K. sanctions evasion activity.”“International unity in implementing these sanctions continues to hamper the D.P.R.K.’s ability to further its illegal weapons of mass destruction programs and sends the message that the D.P.R.K. will be economically and diplomatically isolated until it denuclearizes,” Robert Palladino, Deputy Spokesperson at the U.S. Department of State, said.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.comOil Prices Jump As Saudis Promise To Do ""Whatever It Takes""Car Companies Close Stores As The “Amazon Effect” Takes HoldOil Prices Inch Higher On Venezuelan Crude Crisis


",
625,"

The U.S. State Department has not warned or notified BP in any way about its role as a substantial shareholder in Russia’s Rosneft after Secretary of State Mike Pompeo accused Rosneft of buying Venezuelan crude despite U.S. sanctions against the country, TASS reports.""I haven’t read it, I haven’t heard it, so I really wouldn’t be able to comment,"" Dudley said on the sidelines of CERAWeek. ""I did not actually hear about that.""Earlier this week, Mike Pompeo accused Rosneft of defying U.S. sanctions against Caracas by continuing to buy crude oil from PDVSA, which is its joint venture partner in a local operation.



The Russian company responded by saying it was engaged in business and not politics, adding its contracts for the purchase of Venezuelan crude were signed before the sanctions against PDVSA were enforced. What’s more, Rosneft said it will evaluate the consequences of Pompeo’s statement, TASS reported yesterday and would defend its rights if it finds these have been adverse.The U.S. Secretary of State on Monday said Russia and Cuba were to blame for the crisis in Venezuela because of their continued support for the Maduro government.“This story is not complete without acknowledging the central role Cuba and Russia have played and continue to play in undermining the democratic dreams of the Venezuelan people and their welfare,” Reuters quoted Pompeo as saying.



“Moscow, like Havana, continues to provide political cover to the Maduro regime, while pressuring countries to disregard the democratic legitimacy of the interim president Guaido,” the U.S. Secretary of State also said.The part of his statement that rattled Rosneft went as follows: “Russia’s state-owned company, Rosneft, continues to purchase crude oil cargoes from PDVSA, Venezuela’s state-owned oil company, in defiance of U.S. sanctions. And, Rosneft’s CEO, Igor Sechin, continues to throw a lifeline to the regime.” By Irina Slav for Oilprice.comMore Top Reads From Oilprice.comOil Prices Jump As Saudis Promise To Do ""Whatever It Takes""Car Companies Close Stores As The “Amazon Effect” Takes HoldOil Prices Inch Higher On Venezuelan Crude Crisis


",
626,"

The new chairwoman of U.S. refiner Citgo has assured energy industry attendants of the CERAWeek conference that the company is resilient enough to continue operating without any major hiccups.The Houston Chronicle quoted Luisa Palacios as saying ""For the last month (Citgo) has been developing contingency plans because of the risk that could be in place.  I have to say, the flexibility of our refiners has allowed us to adjust to shock in a quite substantial way.”Palacios was appointed chairwoman along with a whole new board of directors by the interim government of Venezuela appointed by opposition leader Juan Guaido. Guaido declared himself interim president this January after slamming the May 2018 elections as illegitimate and calling on the Venezuelan people to take to the streets to try and topple the Maduro government.



Earlier this year, Guaido said he would replace the board of directors not just of Citgo but of PDVSA as well. He did so last month but the original board of the troubled company also stayed in place.Yet Citgo is perhaps more important. While PDVSA has been hit by U.S. sanctions, Citgo is a U.S. incorporated company, whose assets now seem to be at the disposal of the Venezuelan opposition with Washington’s blessing as it increases the pressure on PDVSA and the Maduro government by freezing its assets in the United States and setting up a new account for Venezuelan crude import payments, also to be made available to the Guaido government.,Citgo operated refineries in three states—Texas, Louisiana, and Illinois—and is a major importer of Venezuelan crude. However, according to Palacios, Venezuelan crude makes up about a quarter of its total intake of crude and it can be replaced with oil from other supplier.



""It's a shock, but it's one we're very well placed to weather,"" Palacios said referring to the latest sanctions that more or less cut off Venezuelan crude oil’s access to the Gulf Coast refineries.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Exxon Punished By Wall Street For Spending StrategyKashmir Conflict Has Riyadh On EdgeSaudis Follow Up On Deeper Oil Output Cuts Promise


",
627,"

The oil industry would do well to engage the supporters of the Green New Deal in dialogue, BP’s chief executive Bob Dudley said at this week’s CERAWeek in Texas.“We need to demonstrate that we share the common goal of a low-carbon future and that we are in action toward it,” Dudley said as quoted by Reuters.According to the executive of one of the biggest oil companies with one of the worst environmental reputations, the oil industry needs to engage with Green New Deal proponents as a way of keeping the trust of society.



“Our focus has to be on developing an energy system that is cleaner, better and kinder to the planet,” Dudley said. “But we can only fully play our part if we have the trust of society and the confidence of our shareholders. That means engaging more with the young people who will take to the streets on Friday.”School children from more than 70 countries will skip school on Friday to protest against climate change, demanding more action from governments and businesses.“It means improving the dialogue we have with policymakers around the world, including those behind the Green New Deal,” Dudley said.



The Green New Deal proposed by Congresswoman Alexandria Ocasio-Cortez was met with severe criticism by Republican lawmakers but won the praise of the environmentalist lobby. Critics note the price tag of the initiative, which a right-leaning organization estimated at US$93 trillion. However, supporters argue that not doing anything to combat climate change will cost a lot more in the long run.The oil industry is hardly a natural partner for Green New Dealers given its very nature and the focus of the GND on eliminating their products from the energy mix of the United States. Yet the oil industry has already begun making inroads into cleaner energy sources, and a dialogue with the green lobby might not be such a bad idea, even if it is for reputation management purposes.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Is This A Precursor For Peak Oil Demand?Analysts: Permian Oil Output Set To Double By 2023Is A Crisis Looming For Canadian Oil?


",
628,"

The American Petroleum Institute (API) reported a surprise draw in crude oil inventories of 2.6 million barrels for the week ending March 8, coming in significantly under analyst predictions that crude oil inventories would build by 2.655 million barrels.Last week, the API reported a large surprise build in crude oil of 7.29 million barrels. A day later, the EIA supported API’s account of a large gain, estimating that crude inventories had climbed by 7.1 million barrels.Including this week’s data, the net draw is just 640,000 barrels for the ten reporting periods so far this year, using API data.(Click to enlarge)



Oil prices were up slightly on Tuesday prior to the data release on word that Saudi Arabia would continue to restrict exports to the United States and as Venezuela’s status grew even more grim with a weekend blackout that halted already restricted exports from its main terminal. Neither factor held enough sway to move prices too high, as US oil production continues unabated.The WTI benchmark at 2:32 pm EST was trading up on the day by $0.09 (+0.14%) at $56.87, roughly flat week on week. The Brent benchmark was trading up $0.07 (+0.11%) at $66.65, also flat week on week.Related: Is This A Precursor For Peak Oil Demand?The API this week reported a large draw of 5.8 million barrels in gasoline inventories for the week ending March 1. Analysts estimated a draw in gasoline inventories of 2.532 million barrels for the week.US crude oil production as estimated by the Energy Information Administration showed that production for the week ending March 1—the latest information available—held fast at an average of 12.1 million barrels per day–the latest in a long string of highs for the United States.



Distillate inventories increased by 195,000 barrels, compared to an expected draw of 1.858 million barrels for the week.Crude oil inventories at the Cushing, Oklahoma facility fell by 1.1 million barrels for the week.The U.S. Energy Information Administration report on crude oil inventories is due to be released on Wednesday at 10:30a.m. EST.By 4:41pm EST, WTI was trading up at $56.93 and Brent was trading up at $66.71.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.comAnalysts: Permian Oil Output Set To Double By 2023Oil Prices Jump As Saudis Promise To Do ""Whatever It Takes""Car Companies Close Stores As The “Amazon Effect” Takes Hold


",
